Symbol,Description,New Symbols
N0Z,Combine Will Intl Hldgs Ltd,N0Z.SI
N2H,Hyflux 6% Cum Pref Class A 10,N2H.SI
N2IU,Mapletree Commercial Trust,N2IU.SI
N32,Nippecraft Limited,N32.SI
N33,Nomura Holdings Inc,N33.SI
N4E,Nam Cheong Limited,N4E.SI
N5YD,Mufj Financial Adr 10,N5YD.SI
N6DD,Mizuho Financial Adr 10,N6DD.SI
N6M,Ishares Usd Asia Bond Etf,N6M.SI
NC2,Sri Trang Agro-industry Pcl,NC2.SI
NEX,Reclaims Global Limited,NEX
NHD,Jubilee,NHD.SI
NO4,Dyna-mac Holdings Ltd.,NO4.SI
NPW,Malaysia Smelting Corp Bhd,NPW.SI
NR7,Raffles Education Corp Ltd,NR7.SI
NS8U,Hutchison Port Holdings Trust,NS8U.SI
NTU,Novotellusspac U,NTU
O08,Ossia International Ltd,O08.SI
O10,Orchard Parade Holdings Ltd,O10.SI
O32,Olam International Limited,O32.SI
O39,Oversea-chinese Banking Corp,O39.SI
O5RU,Aims Amp Cap Industrial Reit,O5RU.SI
O87,Spdr Gold Shares,O87.SI
O9A,Dbxt Msci Singapore Im Etf 10,O9A.SI
O9E,Parkson Retail Asia Limited,O9E.SI
O9P,Ishares Usd Asia Hy Bond Etf,O9P.SI
OAJ,Fortress Minerals Limited,OAJ.SI
ODBU,Utdhampshreitusd,ODBU.SI
OMK,Vividthree Holdings Ltd.,OMK.SI
OTS,Ots Holdings,OTS
OTX,Medinex Limited,OTX
OU8,Centurion Corporation Limited,OU8.SI
OV8,Sheng Siong Group Ltd,OV8.SI
OVQ,Phillip Sing Income Etf,OVQ.SI
OXMU,Prime Us Reitusd,OXMU.SI
OYY,Propnex Limited,OYY.SI
P11,Pacific Andes Resources Devltd,P11.SI
P15,Pacific Century Regional Devts,P15.SI
P34,Petra Foods Limited,P34.SI
P36,Pan Hong Property Group Ltd,P36.SI
